dane_code,department,capital,region
05,Antioquia,Medellín,Andina
08,Atlántico,Barranquilla,Caribe
11,Bogotá D.C.,Bogotá,Andina
13,Bolívar,Cartagena,Caribe
15,Boyacá,Tunja,Andina
17,Caldas,Manizales,Andina
18,Caquetá,Florencia,Amazonía
19,Cauca,Popayán,Pacífica
20,Cesar,Valledupar,Caribe
23,Córdoba,Montería,Caribe
25,Cundinamarca,Bogotá,Andina
27,Chocó,Quibdó,Pacífica
41,Huila,Neiva,Andina
44,La Guajira,Riohacha,Caribe
47,Magdalena,Santa Marta,Caribe
50,Meta,Villavicencio,Orinoquía
52,Nariño,Pasto,Pacífica
54,Norte de Santander,Cúcuta,Andina
63,Quindío,Armenia,Andina
66,Risaralda,Pereira,Andina
68,Santander,Bucaramanga,Andina
70,Sucre,Sincelejo,Caribe
73,Tolima,Ibagué,Andina
76,Valle del Cauca,Cali,Pacífica
81,Arauca,Arauca,Orinoquía
85,Casanare,Yopal,Orinoquía
86,Putumayo,Mocoa,Amazonía
88,San Andrés,San Andrés,Insular
91,Amazonas,Leticia,Amazonía
94,Guainía,Inírida,Amazonía
95,Guaviare,San José del Guaviare,Amazonía
97,Vaupés,Mitú,Amazonía
99,Vichada,Puerto Carreño,Orinoquía
